region,population_growth,migration_balance
brzeski,-4.84,-1.601857226
głubczycki,-8.13,-3.12133302
kędzierzyńsko-kozielski,-5.63,-3.63277623
kluczborski,-5.35,-3.919007185
krapkowicki,-4.1,-1.777032691
namysłowski,-3.54,0.2141327623
nyski,-7.62,-2.367372451
oleski,-3.71,-2.74151436
opolski,-2.52,4.26183383
prudnicki,-5.79,-4.315707621
strzelecki,-3.55,-2.624193096
opole,-3.21,-0.08724619289
