"Kod";"Nazwa";"0-4;mężczyźni;2023;[osoba]";"0-4;kobiety;2023;[osoba]";"5-9;mężczyźni;2023;[osoba]";"5-9;kobiety;2023;[osoba]";"10-14;mężczyźni;2023;[osoba]";"10-14;kobiety;2023;[osoba]";"15-19;mężczyźni;2023;[osoba]";"15-19;kobiety;2023;[osoba]";"20-24;mężczyźni;2023;[osoba]";"20-24;kobiety;2023;[osoba]";"25-29;mężczyźni;2023;[osoba]";"25-29;kobiety;2023;[osoba]";"30-34;mężczyźni;2023;[osoba]";"30-34;kobiety;2023;[osoba]";"35-39;mężczyźni;2023;[osoba]";"35-39;kobiety;2023;[osoba]";"40-44;mężczyźni;2023;[osoba]";"40-44;kobiety;2023;[osoba]";"45-49;mężczyźni;2023;[osoba]";"45-49;kobiety;2023;[osoba]";"50-54;mężczyźni;2023;[osoba]";"50-54;kobiety;2023;[osoba]";"55-59;mężczyźni;2023;[osoba]";"55-59;kobiety;2023;[osoba]";"60-64;mężczyźni;2023;[osoba]";"60-64;kobiety;2023;[osoba]";"65-69;mężczyźni;2023;[osoba]";"65-69;kobiety;2023;[osoba]";"70-74;mężczyźni;2023;[osoba]";"70-74;kobiety;2023;[osoba]";"75-79;mężczyźni;2023;[osoba]";"75-79;kobiety;2023;[osoba]";"80-84;mężczyźni;2023;[osoba]";"80-84;kobiety;2023;[osoba]";"85 i więcej;mężczyźni;2023;[osoba]";"85 i więcej;kobiety;2023;[osoba]";
1600000;"OPOLSKIE";18680;17943;23109;21740;23718;22501;22237;20987;21296;20508;24289;23498;31119;30074;37216;37023;39355;39246;36916;36482;32185;32673;31168;31107;32033;34087;29630;34970;22886;31188;12695;19448;7569;14605;6430;16114;
1600000;"OPOLSKIE - miasta";9302;8912;11348;10684;11848;11222;11321;10735;10224;10146;12290;12091;16144;15797;19480;19180;21038;21114;19534;19629;16175;17016;14894;15917;15579;18191;15841;20550;13125;19250;7935;12517;4279;8254;3569;8898;
1600000;"OPOLSKIE - wieś";9378;9031;11761;11056;11870;11279;10916;10252;11072;10362;11999;11407;14975;14277;17736;17843;18317;18132;17382;16853;16010;15657;16274;15190;16454;15896;13789;14420;9761;11938;4760;6931;3290;6351;2861;7216;
